age_group,club_member_status,fashion_news_frequency,product_group_name,price,clusters
Adult,ACTIVE,Regularly,Garment Upper body,76.94,0
Elderly,ACTIVE,NONE,Garment Upper body,152.66,4
Young Adult,ACTIVE,Regularly,Garment Upper body,218.12,3
Young Adult,ACTIVE,Regularly,Garment Upper body,280.87,3
Adult,ACTIVE,NONE,Shoes,165.83,4
Elderly,ACTIVE,Regularly,Garment Upper body,155.38,0
Young Adult,ACTIVE,NONE,Garment Full body,176.71,1
Young Adult,ACTIVE,Regularly,Garment Full body,280.87,3
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Adult,ACTIVE,Regularly,Garment Full body,186.75,0
Adult,ACTIVE,NONE,Garment Upper body,315.07,4
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Young Adult,ACTIVE,NONE,Swimwear,218.12,1
Young Adult,ACTIVE,Regularly,Garment Upper body,82.17,3
Adult,ACTIVE,Regularly,Garment Lower body,134.46,0
Elderly,ACTIVE,Regularly,Underwear,138.64,0
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Young Adult,ACTIVE,Regularly,Accessories,82.17,3
Young Adult,ACTIVE,NONE,Garment Full body,285.99,1
Young Adult,ACTIVE,Regularly,Nightwear,165.83,3
Young Adult,ACTIVE,NONE,Accessories,113.55,1
Young Adult,ACTIVE,NONE,Garment Full body,354.07,1
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,NONE,Garment Full body,239.04,1
Adult,ACTIVE,Regularly,Nightwear,239.04,0
Adult,ACTIVE,NONE,Swimwear,186.75,4
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,Regularly,Garment Upper body,291.33,3
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Adult,ACTIVE,NONE,Garment Lower body,134.46,4
Young Adult,ACTIVE,Regularly,Garment Full body,124,3
Young Adult,ACTIVE,NONE,Garment Upper body,395.9,1
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,Regularly,Garment Upper body,71.72,3
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Adult,ACTIVE,Regularly,Underwear,114.59,0
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Adult,ACTIVE,NONE,Garment Upper body,61.26,4
Young Adult,ACTIVE,NONE,Garment Lower body,265.18,1
Adult,ACTIVE,NONE,Underwear,124,4
Young Adult,ACTIVE,Regularly,Garment Lower body,134.46,3
Adult,ACTIVE,Regularly,Garment Full body,197.21,0
Elderly,ACTIVE,NONE,Garment Upper body,594.6,4
Adult,ACTIVE,NONE,Garment Upper body,61.26,4
Adult,ACTIVE,NONE,Garment Full body,278.57,4
Adult,ACTIVE,Regularly,Garment Lower body,186.75,0
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Young Adult,ACTIVE,Regularly,Accessories,218.12,3
Young Adult,ACTIVE,NONE,Garment Upper body,121.91,1
Adult,ACTIVE,Regularly,Garment Upper body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,343.61,3
Young Adult,ACTIVE,NONE,Garment Lower body,124,1
Young Adult,ACTIVE,Regularly,Garment Full body,385.45,3
Elderly,ACTIVE,NONE,Garment Upper body,165.83,4
Young Adult,ACTIVE,NONE,Garment Upper body,657.34,1
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Teenager,ACTIVE,NONE,Underwear,134.46,0
Elderly,ACTIVE,Regularly,Accessories,165.83,0
Adult,ACTIVE,NONE,Garment Lower body,197.21,4
Adult,ACTIVE,Regularly,Garment Upper body,144.92,0
Adult,ACTIVE,Regularly,Garment Upper body,239.04,0
Adult,ACTIVE,Regularly,Garment Upper body,291.33,0
Young Adult,ACTIVE,NONE,Swimwear,82.17,1
Young Adult,ACTIVE,NONE,Garment Upper body,291.33,1
Young Adult,ACTIVE,Regularly,Shoes,239.04,3
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Elderly,ACTIVE,NONE,Garment Upper body,138.75,4
Young Adult,ACTIVE,Regularly,Garment Upper body,448.19,3
Adult,ACTIVE,NONE,Accessories,186.75,4
Elderly,PRE-CREATE,Regularly,Garment Upper body,448.19,2
Young Adult,ACTIVE,NONE,Garment Upper body,71.72,1
Adult,ACTIVE,NONE,Garment Lower body,71.72,4
Young Adult,ACTIVE,NONE,Swimwear,218.12,1
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,NONE,Garment Upper body,218.12,1
Elderly,ACTIVE,Regularly,Garment Lower body,291.33,0
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Young Adult,ACTIVE,NONE,Garment Full body,296.56,1
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Young Adult,ACTIVE,NONE,Garment Lower body,186.75,1
Adult,ACTIVE,NONE,Garment Upper body,552.77,4
Elderly,ACTIVE,Regularly,Garment Full body,155.38,0
Young Adult,ACTIVE,Regularly,Garment Upper body,172.84,3
Adult,ACTIVE,NONE,Underwear,134.46,4
Young Adult,ACTIVE,NONE,Swimwear,134.46,1
Adult,ACTIVE,Regularly,Underwear,186.75,0
Young Adult,ACTIVE,Regularly,Accessories,103.09,3
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Adult,ACTIVE,NONE,Swimwear,186.75,4
Young Adult,ACTIVE,NONE,Underwear,218.12,1
Adult,ACTIVE,NONE,Garment Lower body,218.23,4
Young Adult,ACTIVE,Regularly,Accessories,71.72,3
Young Adult,ACTIVE,NONE,Underwear,265.18,1
Young Adult,ACTIVE,NONE,Garment Upper body,147.53,1
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Elderly,ACTIVE,Regularly,Garment Lower body,239.04,0
Elderly,ACTIVE,Regularly,Garment Full body,186.75,0
Young Adult,ACTIVE,Regularly,Garment Upper body,161.86,3
Young Adult,ACTIVE,NONE,Garment Full body,440.45,1
Young Adult,ACTIVE,Regularly,Garment Lower body,124,3
Young Adult,ACTIVE,NONE,Swimwear,186.75,1
Young Adult,ACTIVE,Regularly,Swimwear,186.75,3
Young Adult,ACTIVE,NONE,Swimwear,74.33,1
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Young Adult,ACTIVE,Regularly,Garment Full body,186.75,3
Adult,ACTIVE,Regularly,Garment Full body,155.38,0
Young Adult,ACTIVE,Regularly,Garment Upper body,1065.3,3
Young Adult,ACTIVE,Regularly,Swimwear,164.58,3
Teenager,ACTIVE,NONE,Accessories,239.04,0
Adult,PRE-CREATE,NONE,Swimwear,186.75,2
Young Adult,ACTIVE,Regularly,Garment Upper body,113.55,3
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Young Adult,ACTIVE,NONE,Garment Full body,265.18,1
Young Adult,ACTIVE,NONE,Garment Upper body,186.75,1
Young Adult,ACTIVE,NONE,Swimwear,165.83,1
Young Adult,ACTIVE,NONE,Garment Lower body,448.19,1
Adult,ACTIVE,Regularly,Garment Upper body,113.65,0
Young Adult,ACTIVE,Regularly,Underwear,199.3,3
Elderly,ACTIVE,NONE,Underwear,165.83,4
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Young Adult,ACTIVE,NONE,Garment Lower body,85.83,1
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Adult,ACTIVE,NONE,Garment Lower body,173.47,4
Young Adult,ACTIVE,Regularly,Garment Upper body,165.83,3
Young Adult,ACTIVE,Regularly,Swimwear,80.08,3
Young Adult,ACTIVE,NONE,Garment Upper body,448.19,1
Young Adult,ACTIVE,Regularly,Nightwear,267.9,3
Adult,ACTIVE,Regularly,Underwear,126.93,0
Elderly,ACTIVE,NONE,Swimwear,186.75,4
Young Adult,ACTIVE,Regularly,Garment Full body,138.64,3
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,ACTIVE,NONE,Garment Lower body,448.19,1
Adult,ACTIVE,Regularly,Garment Lower body,218.12,0
Young Adult,ACTIVE,Regularly,Garment Lower body,252.11,3
Young Adult,ACTIVE,Regularly,Garment Upper body,177.97,3
Young Adult,ACTIVE,Regularly,Garment Upper body,92.63,3
Young Adult,ACTIVE,Regularly,Garment Full body,270.41,3
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Adult,ACTIVE,Regularly,Garment Lower body,197.21,0
Young Adult,ACTIVE,NONE,Accessories,239.04,1
Adult,ACTIVE,Regularly,Swimwear,395.9,0
Adult,ACTIVE,Regularly,Garment Upper body,82.17,0
Young Adult,ACTIVE,NONE,Garment Upper body,761.92,1
Young Adult,ACTIVE,Regularly,Accessories,113.55,3
Elderly,ACTIVE,Regularly,Garment Full body,103.09,0
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Elderly,ACTIVE,NONE,Garment Lower body,239.04,4
Young Adult,ACTIVE,Regularly,Garment Full body,343.61,3
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Adult,ACTIVE,NONE,Underwear,113.55,4
Young Adult,ACTIVE,Regularly,Garment Full body,113.55,3
Young Adult,ACTIVE,Regularly,Garment Upper body,165.83,3
Young Adult,ACTIVE,NONE,Underwear,90.23,1
Adult,ACTIVE,Regularly,Garment Upper body,312.24,0
Young Adult,ACTIVE,NONE,Garment Upper body,186.75,1
Young Adult,ACTIVE,NONE,Shoes,448.19,1
Adult,ACTIVE,Regularly,Garment Lower body,218.12,0
Adult,ACTIVE,Regularly,Garment Full body,134.46,0
Adult,ACTIVE,Regularly,Garment Lower body,343.61,0
Young Adult,ACTIVE,Regularly,Garment Lower body,218.12,3
Adult,ACTIVE,NONE,Garment Full body,265.18,4
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Adult,ACTIVE,NONE,Nightwear,163.22,4
Young Adult,ACTIVE,NONE,Garment Upper body,152.55,1
Young Adult,ACTIVE,Regularly,Garment Upper body,165.83,3
Adult,ACTIVE,Regularly,Garment Upper body,191.98,0
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,NONE,Garment Full body,239.04,1
Adult,ACTIVE,Regularly,Garment Lower body,144.92,0
Young Adult,ACTIVE,NONE,Garment Upper body,291.33,1
Young Adult,ACTIVE,NONE,Garment Upper body,186.75,1
Young Adult,ACTIVE,Regularly,Garment Lower body,343.61,3
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Adult,ACTIVE,Regularly,Garment Full body,343.61,0
Young Adult,ACTIVE,Regularly,Underwear,67.53,3
Young Adult,ACTIVE,NONE,Shoes,327.93,1
Young Adult,ACTIVE,Regularly,Garment Lower body,156.84,3
Young Adult,ACTIVE,Regularly,Garment Upper body,113.55,3
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Young Adult,ACTIVE,Regularly,Garment Lower body,343.61,3
Young Adult,ACTIVE,NONE,Garment Upper body,76.94,1
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,ACTIVE,NONE,Garment Lower body,280.87,1
Adult,ACTIVE,NONE,Garment Lower body,239.04,4
Young Adult,ACTIVE,NONE,Garment Full body,197.21,1
Young Adult,ACTIVE,NONE,Swimwear,155.38,1
Elderly,ACTIVE,NONE,Garment Upper body,239.04,4
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Adult,ACTIVE,NONE,Garment Lower body,291.33,4
Adult,ACTIVE,Regularly,Underwear,96.81,0
Young Adult,ACTIVE,NONE,Accessories,197.21,1
Young Adult,ACTIVE,NONE,Garment Upper body,56.03,1
Adult,ACTIVE,Regularly,Garment Lower body,197.21,0
Young Adult,ACTIVE,NONE,Garment Lower body,186.75,1
Adult,ACTIVE,NONE,Garment Lower body,79.56,4
Young Adult,ACTIVE,Regularly,Garment Upper body,207.67,3
Young Adult,ACTIVE,Regularly,Garment Lower body,291.33,3
Adult,ACTIVE,NONE,Accessories,71.72,4
Young Adult,ACTIVE,NONE,Underwear,40.45,1
Young Adult,ACTIVE,Regularly,Garment Full body,197.21,3
Young Adult,ACTIVE,Regularly,Garment Full body,184.34,3
Elderly,ACTIVE,Regularly,Garment Upper body,113.55,0
Elderly,ACTIVE,NONE,Garment Lower body,218.12,4
Adult,ACTIVE,NONE,Garment Lower body,165.83,4
Adult,ACTIVE,NONE,Garment Lower body,186.75,4
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Adult,ACTIVE,Regularly,Socks & Tights,113.55,0
Elderly,ACTIVE,Regularly,Garment Upper body,178.91,0
Young Adult,ACTIVE,Regularly,Garment Upper body,82.17,3
Young Adult,ACTIVE,Regularly,Garment Full body,197.21,3
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Swimwear,121.39,1
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,NONE,Garment Upper body,109.99,1
Adult,ACTIVE,NONE,Garment Upper body,165.83,4
Young Adult,ACTIVE,Regularly,Garment Upper body,109.68,3
Adult,ACTIVE,NONE,Swimwear,134.46,4
Young Adult,ACTIVE,Regularly,Garment Lower body,165.83,3
Young Adult,ACTIVE,Regularly,Garment Upper body,322.7,3
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,NONE,Garment Lower body,258.07,1
Adult,ACTIVE,NONE,Garment Upper body,92.63,4
Young Adult,ACTIVE,Regularly,Garment Upper body,134.46,3
Adult,ACTIVE,NONE,Garment Lower body,113.55,4
Adult,ACTIVE,NONE,Garment Upper body,343.61,4
Adult,ACTIVE,NONE,Garment Lower body,186.75,4
Young Adult,ACTIVE,NONE,Garment Full body,291.33,1
Young Adult,ACTIVE,Regularly,Garment Upper body,291.33,3
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Adult,ACTIVE,Regularly,Garment Lower body,134.46,0
Adult,ACTIVE,NONE,Garment Lower body,239.04,4
Adult,ACTIVE,Regularly,Garment Full body,395.9,0
Adult,ACTIVE,Regularly,Garment Upper body,165.83,0
Young Adult,ACTIVE,Regularly,Garment Upper body,71.72,3
Young Adult,ACTIVE,Regularly,Garment Upper body,124,3
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,NONE,Garment Upper body,155.38,1
Adult,ACTIVE,Regularly,Garment Upper body,103.09,0
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,NO MEMBERSHIP,NONE,Garment Full body,395.9,2
Young Adult,ACTIVE,Regularly,Garment Full body,218.12,3
Elderly,ACTIVE,NONE,Garment Lower body,134.46,4
Young Adult,PRE-CREATE,NONE,Garment Upper body,134.46,2
Adult,ACTIVE,NONE,Garment Lower body,165.83,4
Elderly,ACTIVE,Regularly,Garment Full body,239.04,0
Adult,ACTIVE,NONE,Swimwear,163.74,4
Young Adult,ACTIVE,NONE,Swimwear,165.83,1
Young Adult,ACTIVE,Regularly,Garment Upper body,124,3
Elderly,ACTIVE,NONE,Garment Upper body,134.46,4
Young Adult,ACTIVE,NONE,Garment Lower body,343.61,1
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Adult,ACTIVE,Regularly,Garment Upper body,82.17,0
Adult,ACTIVE,Regularly,Swimwear,134.46,0
Adult,ACTIVE,NONE,Garment Upper body,71.72,4
Young Adult,ACTIVE,NONE,Underwear,181.52,1
Young Adult,ACTIVE,NONE,Garment Lower body,280.87,1
Young Adult,ACTIVE,Regularly,Garment Upper body,165.83,3
Adult,ACTIVE,NONE,Garment Lower body,218.12,4
Young Adult,ACTIVE,NONE,Accessories,113.55,1
Elderly,ACTIVE,Regularly,Garment Upper body,165.83,0
Adult,ACTIVE,NONE,Garment Upper body,343.61,4
Young Adult,ACTIVE,NONE,Underwear,134.46,1
Young Adult,ACTIVE,NONE,Accessories,291.33,1
Adult,ACTIVE,NONE,Garment Upper body,333.58,4
Young Adult,ACTIVE,Regularly,Garment Upper body,291.33,3
Young Adult,ACTIVE,NONE,Garment Lower body,552.77,1
Young Adult,ACTIVE,NONE,Garment Full body,113.55,1
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Elderly,ACTIVE,NONE,Garment Upper body,134.46,4
Elderly,ACTIVE,Regularly,Garment Lower body,239.04,0
Adult,ACTIVE,Regularly,Garment Full body,50.8,0
Adult,ACTIVE,Regularly,Garment Lower body,448.19,0
Adult,ACTIVE,Regularly,Garment Upper body,155.38,0
Young Adult,ACTIVE,Regularly,Shoes,1065.3,3
Adult,ACTIVE,NONE,Socks & Tights,59.17,4
Young Adult,ACTIVE,NONE,Garment Upper body,165.83,1
Young Adult,ACTIVE,NONE,Swimwear,186.75,1
Young Adult,ACTIVE,Regularly,Accessories,134.46,3
Adult,ACTIVE,Regularly,Garment Upper body,101.94,0
Elderly,ACTIVE,Regularly,Garment Upper body,291.33,0
Young Adult,ACTIVE,Regularly,Garment Full body,533.73,3
Young Adult,ACTIVE,NONE,Garment Upper body,186.85,1
Adult,PRE-CREATE,NONE,Underwear,218.12,2
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Elderly,ACTIVE,Regularly,Garment Lower body,134.46,0
Young Adult,ACTIVE,Regularly,Garment Upper body,239.04,3
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Young Adult,ACTIVE,Regularly,Underwear,343.61,3
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Elderly,ACTIVE,NONE,Garment Lower body,239.04,4
Adult,ACTIVE,Regularly,Garment Lower body,144.92,0
Young Adult,ACTIVE,NONE,Socks & Tights,117.94,1
Adult,ACTIVE,Regularly,Underwear,92.63,0
Young Adult,ACTIVE,NONE,Garment Lower body,339.85,1
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Young Adult,ACTIVE,Regularly,Accessories,113.55,3
Adult,ACTIVE,Regularly,Garment Upper body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,113.55,3
Adult,ACTIVE,Regularly,Garment Upper body,82.17,0
Young Adult,ACTIVE,Regularly,Garment Upper body,113.55,3
Adult,ACTIVE,NONE,Garment Lower body,552.77,4
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Adult,ACTIVE,Regularly,Garment Upper body,92.63,0
Adult,ACTIVE,NONE,Garment Full body,124,4
Young Adult,ACTIVE,Regularly,Garment Upper body,71.72,3
Young Adult,ACTIVE,NONE,Garment Lower body,176.29,1
Adult,ACTIVE,NONE,Garment Upper body,113.55,4
Young Adult,ACTIVE,Regularly,Garment Lower body,225.13,3
Young Adult,ACTIVE,NONE,Swimwear,117.73,1
Adult,ACTIVE,NONE,Accessories,56.97,4
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Adult,ACTIVE,NONE,Garment Full body,176.29,4
Elderly,ACTIVE,NONE,Garment Lower body,552.77,4
Young Adult,ACTIVE,Regularly,Accessories,113.55,3
Adult,ACTIVE,NONE,Garment Lower body,176.29,4
Adult,ACTIVE,Regularly,Garment Upper body,239.04,0
Adult,ACTIVE,NONE,Garment Lower body,207.67,4
Adult,ACTIVE,NONE,Garment Full body,395.9,4
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,92.63,1
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Elderly,ACTIVE,NONE,Nightwear,113.55,4
Adult,ACTIVE,Regularly,Garment Lower body,197.21,0
Young Adult,PRE-CREATE,NONE,Shoes,186.75,2
Young Adult,ACTIVE,NONE,Garment Upper body,406.36,1
Elderly,ACTIVE,NONE,Garment Upper body,364.53,4
Young Adult,ACTIVE,NONE,Garment Upper body,89.39,1
Elderly,ACTIVE,Regularly,Garment Full body,270.41,0
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,NONE,Accessories,113.55,1
Young Adult,ACTIVE,Regularly,Garment Lower body,149,3
Adult,ACTIVE,NONE,Shoes,197.21,4
Young Adult,ACTIVE,NONE,Garment Upper body,448.19,1
Adult,ACTIVE,NONE,Garment Upper body,103.09,4
Young Adult,ACTIVE,Regularly,Garment Upper body,88.13,3
Young Adult,ACTIVE,Regularly,Underwear,124,3
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Young Adult,ACTIVE,Regularly,Nightwear,186.85,3
Elderly,ACTIVE,Regularly,Garment Lower body,343.61,0
Adult,ACTIVE,Regularly,Underwear,113.55,0
Young Adult,ACTIVE,Regularly,Garment Upper body,134.46,3
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,80.19,3
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Adult,ACTIVE,NONE,Garment Upper body,239.04,4
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Adult,ACTIVE,Regularly,Garment Lower body,220.01,0
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,NONE,Garment Full body,448.19,1
Adult,ACTIVE,NONE,Accessories,227.64,4
Young Adult,ACTIVE,NONE,Garment Lower body,197.21,1
Young Adult,ACTIVE,Regularly,Garment Full body,500.48,3
Adult,ACTIVE,NONE,Garment Lower body,218.12,4
Young Adult,ACTIVE,NONE,Garment Upper body,163.22,1
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Shoes,259.95,1
Young Adult,ACTIVE,Regularly,Shoes,165.83,3
Adult,ACTIVE,NONE,Garment Full body,343.61,4
Young Adult,ACTIVE,Regularly,Garment Full body,164.37,3
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Adult,ACTIVE,Regularly,Garment Upper body,92.63,0
Elderly,ACTIVE,NONE,Garment Full body,245.94,4
Elderly,ACTIVE,NONE,Garment Upper body,113.55,4
Young Adult,ACTIVE,Regularly,Garment Upper body,192.19,3
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Young Adult,ACTIVE,NONE,Garment Upper body,124,1
Adult,ACTIVE,NONE,Underwear,213,4
Young Adult,PRE-CREATE,NONE,Accessories,113.55,2
Young Adult,ACTIVE,NONE,Accessories,105.18,1
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Adult,ACTIVE,Regularly,Garment Upper body,92.63,0
Young Adult,ACTIVE,NONE,Swimwear,124,1
Adult,ACTIVE,NONE,Garment Upper body,239.04,4
Young Adult,ACTIVE,NONE,Underwear,152.24,1
Adult,ACTIVE,Regularly,Garment Full body,176.29,0
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Young Adult,ACTIVE,NONE,Garment Lower body,552.77,1
Young Adult,ACTIVE,NONE,Garment Upper body,291.33,1
Young Adult,ACTIVE,NONE,Garment Lower body,176.4,1
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Adult,ACTIVE,NONE,Underwear,176.29,4
Young Adult,ACTIVE,NONE,Garment Full body,552.77,1
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Elderly,PRE-CREATE,NONE,Swimwear,186.75,2
Young Adult,ACTIVE,NONE,Garment Lower body,124,1
Adult,ACTIVE,Regularly,Garment Upper body,343.61,0
Adult,ACTIVE,NONE,Garment Upper body,291.33,4
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Adult,ACTIVE,NONE,Garment Upper body,218.12,4
Adult,ACTIVE,Regularly,Swimwear,92.63,0
Elderly,ACTIVE,Regularly,Garment Upper body,291.33,0
Adult,ACTIVE,NONE,Garment Upper body,291.33,4
Young Adult,ACTIVE,Regularly,Garment Lower body,333.05,3
Young Adult,ACTIVE,NONE,Garment Upper body,103.09,1
Young Adult,ACTIVE,NONE,Garment Upper body,218.12,1
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,NONE,Garment Full body,339.22,1
Young Adult,ACTIVE,NONE,Garment Lower body,218.12,1
Elderly,ACTIVE,Regularly,Garment Full body,866.5,0
Adult,ACTIVE,NONE,Garment Lower body,124,4
Adult,ACTIVE,Regularly,Garment Full body,395.9,0
Adult,ACTIVE,Regularly,Swimwear,113.55,0
Young Adult,ACTIVE,NONE,Underwear,134.46,1
Young Adult,ACTIVE,Regularly,Garment Upper body,134.46,3
Young Adult,NO MEMBERSHIP,NONE,Garment Upper body,186.75,2
Adult,ACTIVE,Regularly,Garment Upper body,113.55,0
Young Adult,ACTIVE,NONE,Garment Full body,134.46,1
Young Adult,ACTIVE,Regularly,Garment Lower body,134.46,3
Young Adult,ACTIVE,NONE,Garment Lower body,92.63,1
Young Adult,ACTIVE,Regularly,Garment Upper body,103.09,3
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,NONE,Garment Upper body,265.18,1
Adult,ACTIVE,Regularly,Garment Upper body,657.34,0
Young Adult,ACTIVE,Regularly,Garment Lower body,265.18,3
Young Adult,ACTIVE,NONE,Garment Upper body,124,1
Young Adult,ACTIVE,NONE,Garment Upper body,97.96,1
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Adult,ACTIVE,Regularly,Garment Upper body,113.55,0
Adult,ACTIVE,Regularly,Garment Upper body,232.55,0
Young Adult,ACTIVE,Regularly,Accessories,56.03,3
Adult,ACTIVE,Regularly,Garment Upper body,97.34,0
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Young Adult,ACTIVE,Regularly,Underwear,144.71,3
Young Adult,ACTIVE,NONE,Underwear,134.46,1
Adult,PRE-CREATE,NONE,Underwear,395.9,2
Young Adult,ACTIVE,NONE,Garment Lower body,176.29,1
Young Adult,ACTIVE,NONE,Accessories,88.45,1
Young Adult,ACTIVE,Regularly,Garment Upper body,239.04,3
Adult,ACTIVE,NONE,Underwear,103.09,4
Young Adult,ACTIVE,Regularly,Underwear,134.46,3
Young Adult,ACTIVE,Regularly,Garment Upper body,180.68,3
Adult,ACTIVE,Regularly,Swimwear,155.38,0
Young Adult,ACTIVE,Regularly,Garment Lower body,165.83,3
Young Adult,ACTIVE,Regularly,Accessories,293.42,3
Young Adult,ACTIVE,Regularly,Garment Upper body,280.87,3
Young Adult,ACTIVE,NONE,Garment Full body,218.12,1
Young Adult,ACTIVE,Regularly,Garment Upper body,216.14,3
Adult,ACTIVE,NONE,Garment Lower body,239.04,4
Young Adult,ACTIVE,NONE,Swimwear,218.12,1
Young Adult,ACTIVE,NONE,Garment Lower body,90.33,1
Young Adult,ACTIVE,Regularly,Garment Full body,594.6,3
Adult,ACTIVE,NONE,Underwear,239.04,4
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Young Adult,ACTIVE,NONE,Underwear,124,1
Young Adult,ACTIVE,NONE,Garment Upper body,197.21,1
Adult,ACTIVE,NONE,Garment Lower body,118.78,4
Adult,ACTIVE,Regularly,Underwear,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,NONE,Accessories,61.26,1
Young Adult,ACTIVE,Regularly,Garment Lower body,80.08,3
Young Adult,ACTIVE,NONE,Garment Upper body,165.83,1
Young Adult,ACTIVE,NONE,Garment Lower body,218.12,1
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Young Adult,ACTIVE,NONE,Garment Upper body,643.75,1
Adult,ACTIVE,NONE,Garment Lower body,265.18,4
Adult,ACTIVE,NONE,Garment Full body,171.06,4
Young Adult,ACTIVE,NONE,Garment Full body,280.87,1
Adult,ACTIVE,NONE,Garment Lower body,112.81,4
Adult,ACTIVE,NONE,Swimwear,129.97,4
Young Adult,ACTIVE,NONE,Swimwear,343.61,1
